iter	Logloss
0	0.6891610543
1	0.6850610829
2	0.6800450701
3	0.6754019531
4	0.6704095425
5	0.665314575
6	0.6609597824
7	0.6562849014
8	0.652921055
9	0.6484420175
10	0.6439088371
11	0.6399194499
12	0.6375364327
13	0.6338181543
14	0.6305771208
15	0.6282415406
16	0.6247308724
17	0.6213623157
18	0.6176612293
19	0.614308683
20	0.6112691499
21	0.6079878219
22	0.6046088833
23	0.6012796719
24	0.5988546526
25	0.5956249128
26	0.5933952306
27	0.5901488819
28	0.5874314409
29	0.5848678288
30	0.5833255298
31	0.581144939
32	0.578409912
33	0.5766295443
34	0.5742809697
35	0.571858551
36	0.5694152985
37	0.5672087393
38	0.5653802174
39	0.5632790601
40	0.5613520958
41	0.5597097332
42	0.5581192771
43	0.5560291068
44	0.554336266
45	0.5522066706
46	0.5501654439
47	0.5486701956
48	0.5466856703
49	0.5448109533
50	0.5434793053
51	0.5421725371
52	0.5406714089
53	0.5395508667
54	0.5385959649
55	0.5372277443
56	0.5359556762
57	0.5343656998
58	0.5334519291
59	0.5325559845
60	0.5314822459
61	0.5303882981
62	0.5292692561
63	0.5277607366
64	0.5267805723
65	0.5253090164
66	0.5240631083
67	0.5225278582
68	0.5215534285
69	0.5206106043
70	0.5198876522
71	0.5188733046
72	0.5174987547
73	0.5161025552
74	0.5150593158
75	0.5135521068
76	0.5126452122
77	0.5118492183
78	0.5107983582
79	0.5098033933
80	0.5090186953
81	0.507709362
82	0.5066086223
83	0.5055504156
84	0.5046747013
85	0.5039010911
86	0.5030907933
87	0.5019875841
88	0.5011460685
89	0.5001368754
90	0.4993961674
91	0.4987467801
92	0.4979789721
93	0.4973006648
94	0.4964732978
95	0.4955038619
96	0.4945990254
97	0.4936468247
98	0.4929984921
99	0.4921064362
100	0.491523242
101	0.4908323814
102	0.4901013755
103	0.4894503176
104	0.4889316019
105	0.4880677983
106	0.4874271163
107	0.4869119358
108	0.4862912279
109	0.4856126576
110	0.4848871676
111	0.4841397585
112	0.4832995899
113	0.4825501224
114	0.4819982198
115	0.4816153486
116	0.4811208819
117	0.4803679805
118	0.4799390201
119	0.4794033749
120	0.4789410019
121	0.4785052964
122	0.4778847219
123	0.4771359675
124	0.4765549158
125	0.4761327159
126	0.4755182836
127	0.4750218749
128	0.4744782266
129	0.4739057777
130	0.4732436791
131	0.4726343385
132	0.4721500769
133	0.4716968804
134	0.4712499512
135	0.4708695534
136	0.4704020659
137	0.4698236851
138	0.4693267452
139	0.4689500968
140	0.4683345524
141	0.4679401911
142	0.46750489
143	0.4669513726
144	0.4665830034
145	0.4661149377
146	0.4657143812
147	0.4653453154
148	0.4648294267
149	0.4643347255
150	0.463959251
151	0.4635687076
152	0.4631319886
153	0.4628245026
154	0.4623932514
155	0.4618443379
156	0.4613996613
157	0.4610290765
158	0.4606203875
159	0.4601970557
160	0.4599121183
161	0.459373748
162	0.4590654158
163	0.4586806048
164	0.4582911688
165	0.4579112724
166	0.4575589381
167	0.4571710132
168	0.4568059967
169	0.456507471
170	0.4560811517
171	0.4556855031
172	0.4553947492
173	0.4549743566
174	0.4546319631
175	0.4544395734
176	0.4539897618
177	0.4536642494
178	0.4533819975
179	0.4530927822
180	0.4528716473
181	0.4525303078
182	0.4521326509
183	0.4518514958
184	0.4515507325
185	0.4512354375
186	0.450938104
187	0.4505089177
188	0.4501185568
189	0.4498358287
190	0.4494988914
191	0.4492769968
192	0.44895111
193	0.4486325106
194	0.4484231685
195	0.4480653977
196	0.4477533881
197	0.4475408289
198	0.447224927
199	0.4468121705
200	0.4464960183
201	0.4462592911
202	0.4459688728
203	0.4456780452
204	0.4453626968
205	0.4450914509
206	0.4448257729
207	0.4444900646
208	0.4443288487
209	0.4440834168
210	0.4437828399
211	0.4434969865
212	0.4431336029
213	0.4429146653
214	0.4426519503
215	0.4424002506
216	0.4421012402
217	0.4417970645
218	0.4416299647
219	0.4413077857
220	0.4410526248
221	0.4408037699
222	0.4404725629
223	0.4402677654
224	0.4401811487
225	0.4399924091
226	0.439784684
227	0.439408293
228	0.4391792795
229	0.4390052698
230	0.4386361039
231	0.4383028579
232	0.4380717667
233	0.437804715
234	0.4376330141
235	0.4373749002
236	0.4371150616
237	0.4368879171
238	0.4366177085
239	0.4363517438
240	0.4361327147
241	0.4358254088
242	0.4355085449
243	0.4351823399
244	0.4349856867
245	0.4347417837
246	0.4344641952
247	0.4342424474
248	0.4340459859
249	0.4338395295
250	0.4336869761
251	0.4333999542
252	0.4331089711
253	0.4328722318
254	0.4326890354
255	0.4325089905
256	0.4322911876
257	0.4320628893
258	0.4318409062
259	0.4316298744
260	0.4313784979
261	0.4311890664
262	0.4310258238
263	0.4308009593
264	0.4305849553
265	0.4303889151
266	0.430206042
267	0.4299816119
268	0.4296749795
269	0.4293593738
270	0.4291390332
271	0.4289436886
272	0.4287783357
273	0.4286111412
274	0.4284215225
275	0.428199419
276	0.4279178262
277	0.4275715196
278	0.4274222042
279	0.4272384286
280	0.427098526
